,Series_Title,Bag_of_Word,Bag_of_Word_stem,Bag_of_Word_lema,Top 5 stem,Top 5 lema
446,Roman Holiday,bored sheltered princess escapes guardians falls love american newsman rome bored sheltered princess escapes guardians falls love american newsman rome comedy romance william wyler gregory peck audrey hepburn eddie albert hartley power,bore shelter princess escap guardian fall love american newsman rome bore shelter princess escap guardian fall love american newsman rome comedi romanc william wyler gregori peck audrey hepburn eddi albert hartley power,bore shelter princess escape guardians fall love american newsman rome bore shelter princess escape guardians fall love american newsman rome comedy romance william wyler gregory peck audrey hepburn eddie albert hartley power,"[756, 754, 414, 702, 533]","[756, 754, 414, 702, 533]"
447,A Streetcar Named Desire,disturbed blanche dubois moves sister new orleans tormented brutish brotherinlaw reality crumbles around disturbed blanche dubois moves sister new orleans tormented brutish brotherinlaw reality crumbles around drama elia kazan vivien leigh marlon brando kim hunter karl malden,disturb blanch duboi move sister new orlean torment brutish brotherinlaw realiti crumbl around disturb blanch duboi move sister new orlean torment brutish brotherinlaw realiti crumbl around drama elia kazan vivien leigh marlon brando kim hunter karl malden,disturb blanche dubois move sister new orleans torment brutish brotherinlaw reality crumble around disturb blanche dubois move sister new orleans torment brutish brotherinlaw reality crumble around drama elia kazan vivien leigh marlon brando kim hunter karl malden,"[100, 293, 400, 699, 995]","[293, 400, 699, 305, 995]"
448,In a Lonely Place,potentially violent screenwriter murder suspect lovely neighbor clears however soon starts doubts potentially violent screenwriter murder suspect lovely neighbor clears however soon starts doubts drama filmnoir mystery nicholas ray humphrey bogart gloria grahame frank lovejoy carl benton reid,potenti violent screenwrit murder suspect love neighbor clear howev soon start doubt potenti violent screenwrit murder suspect love neighbor clear howev soon start doubt drama filmnoir mysteri nichola ray humphrey bogart gloria graham frank lovejoy carl benton reid,potentially violent screenwriter murder suspect lovely neighbor clear however soon start doubt potentially violent screenwriter murder suspect lovely neighbor clear however soon start doubt drama filmnoir mystery nicholas ray humphrey bogart gloria grahame frank lovejoy carl benton reid,"[453, 560, 693, 200, 253]","[693, 253, 81, 200, 453]"
449,Kind Hearts and Coronets,distant poor relative duke dascoyne plots inherit title murdering eight heirs stand ahead line succession distant poor relative duke dascoyne plots inherit title murdering eight heirs stand ahead line succession comedy crime robert hamer dennis price alec guinness valerie hobson joan greenwood,distant poor rel duke dascoyn plot inherit titl murder eight heir stand ahead line success distant poor rel duke dascoyn plot inherit titl murder eight heir stand ahead line success comedi crime robert hamer denni price alec guin valeri hobson joan greenwood,distant poor relative duke dascoyne plot inherit title murder eight heirs stand ahead line succession distant poor relative duke dascoyne plot inherit title murder eight heirs stand ahead line succession comedy crime robert hamer dennis price alec guinness valerie hobson joan greenwood,"[962, 846, 198, 951, 980]","[846, 980, 989, 545, 187]"
450,Rope,two men attempt prove committed perfect crime hosting dinner party strangling former classmate death two men attempt prove committed perfect crime hosting dinner party strangling former classmate death crime drama mystery alfred hitchcock james stewart john dall farley granger dick hogan,two men attempt prove commit perfect crime host dinner parti strangl former classmat death two men attempt prove commit perfect crime host dinner parti strangl former classmat death crime drama mysteri alfr hitchcock jame stewart john dall farley granger dick hogan,two men attempt prove commit perfect crime host dinner party strangle former classmate death two men attempt prove commit perfect crime host dinner party strangle former classmate death crime drama mystery alfred hitchcock jam stewart john dall farley granger dick hogan,"[186, 136, 508, 87, 680]","[186, 136, 508, 87, 680]"
451,Out of the Past,private eye escapes past run gas station small town past catches must return big city world danger corruption double crosses duplicitous dames private eye escapes past run gas station small town past catches must return big city world danger corruption double crosses duplicitous dames crime drama filmnoir jacques tourneur robert mitchum jane greer kirk douglas rhonda fleming,privat eye escap past run ga station small town past catch must return big citi world danger corrupt doubl cross duplicit dame privat eye escap past run ga station small town past catch must return big citi world danger corrupt doubl cross duplicit dame crime drama filmnoir jacqu tourneur robert mitchum jane greer kirk dougla rhonda fleme,private eye escape past run gas station small town past catch must return big city world danger corruption double cross duplicitous dam private eye escape past run gas station small town past catch must return big city world danger corruption double cross duplicitous dam crime drama filmnoir jacques tourneur robert mitchum jane greer kirk douglas rhonda fleming,"[844, 868, 364, 380, 688]","[364, 844, 868, 283, 380]"
452,Brief Encounter,meeting stranger railway station woman tempted cheat husband meeting stranger railway station woman tempted cheat husband drama romance david lean celia johnson trevor howard stanley holloway joyce carey,meet stranger railway station woman tempt cheat husband meet stranger railway station woman tempt cheat husband drama romanc david lean celia johnson trevor howard stanley holloway joyc carey,meet stranger railway station woman tempt cheat husband meet stranger railway station woman tempt cheat husband drama romance david lean celia johnson trevor howard stanley holloway joyce carey,"[547, 490, 521, 734, 478]","[547, 490, 521, 734, 478]"
453,Laura,police detective falls love woman whose murder investigating police detective falls love woman whose murder investigating drama filmnoir mystery otto preminger gene tierney dana andrews clifton webb vincent price,polic detect fall love woman whose murder investig polic detect fall love woman whose murder investig drama filmnoir mysteri otto preming gene tierney dana andrew clifton webb vincent price,police detective fall love woman whose murder investigate police detective fall love woman whose murder investigate drama filmnoir mystery otto preminger gene tierney dana andrews clifton webb vincent price,"[546, 723, 754, 460, 119]","[546, 723, 754, 460, 119]"
454,The Best Years of Our Lives,three world war ii veterans return home smalltown america discover families irreparably changed three world war ii veterans return home smalltown america discover families irreparably changed drama romance war william wyler myrna loy dana andrews fredric march teresa wright,three world war ii veteran return home smalltown america discov famili irrepar chang three world war ii veteran return home smalltown america discov famili irrepar chang drama romanc war william wyler myrna loy dana andrew fredric march teresa wright,three world war ii veterans return home smalltown america discover families irreparably change three world war ii veterans return home smalltown america discover families irreparably change drama romance war william wyler myrna loy dana andrews fredric march teresa wright,"[179, 46, 542, 772, 832]","[179, 46, 542, 772, 832]"
455,Arsenic and Old Lace,writer books futility marriage risks reputation decides get married things get even complicated learns wedding day beloved maiden aunts habitual murderers writer books futility marriage risks reputation decides get married things get even complicated learns wedding day beloved maiden aunts habitual murderers comedy crime thriller frank capra cary grant priscilla lane raymond massey jack carson,writer book futil marriag risk reput decid get marri thing get even complic learn wed day belov maiden aunt habitu murder writer book futil marriag risk reput decid get marri thing get even complic learn wed day belov maiden aunt habitu murder comedi crime thriller frank capra cari grant priscilla lane raymond massey jack carson,writer book futility marriage risk reputation decide get marry things get even complicate learn wed day beloved maiden aunts habitual murderers writer book futility marriage risk reputation decide get marry things get even complicate learn wed day beloved maiden aunts habitual murderers comedy crime thriller frank capra cary grant priscilla lane raymond massey jack carson,"[967, 482, 908, 556, 989]","[967, 482, 908, 926, 768]"
456,The Maltese Falcon,private detective takes case involves three eccentric criminals gorgeous liar quest priceless statuette private detective takes case involves three eccentric criminals gorgeous liar quest priceless statuette filmnoir mystery john huston humphrey bogart mary astor gladys george peter lorre,privat detect take case involv three eccentr crimin gorgeou liar quest priceless statuett privat detect take case involv three eccentr crimin gorgeou liar quest priceless statuett filmnoir mysteri john huston humphrey bogart mari astor gladi georg peter lorr,private detective take case involve three eccentric criminals gorgeous liar quest priceless statuette private detective take case involve three eccentric criminals gorgeous liar quest priceless statuette filmnoir mystery john huston humphrey bogart mary astor gladys george peter lorre,"[560, 283, 463, 460, 921]","[560, 283, 463, 460, 921]"
457,The Grapes of Wrath,poor midwest family forced land travel california suffering misfortunes homeless great depression poor midwest family forced land travel california suffering misfortunes homeless great depression drama history john ford henry fonda jane darwell john carradine charley grapewin,poor midwest famili forc land travel california suffer misfortun homeless great depress poor midwest famili forc land travel california suffer misfortun homeless great depress drama histori john ford henri fonda jane darwel john carradin charley grapewin,poor midwest family force land travel california suffer misfortunes homeless great depression poor midwest family force land travel california suffer misfortunes homeless great depression drama history john ford henry fonda jane darwell john carradine charley grapewin,"[713, 468, 895, 4, 284]","[713, 4, 284, 692, 915]"
458,The Wizard of Oz,dorothy gale swept away farm kansas magical land oz tornado embarks quest new friends see wizard help return home kansas help friends well dorothy gale swept away farm kansas magical land oz tornado embarks quest new friends see wizard help return home kansas help friends well adventure family fantasy victor fleming george cukor mervyn leroy norman taurog richard thorpe,dorothi gale swept away farm kansa magic land oz tornado embark quest new friend see wizard help return home kansa help friend well dorothi gale swept away farm kansa magic land oz tornado embark quest new friend see wizard help return home kansa help friend well adventur famili fantasi victor fleme georg cukor mervyn leroy norman taurog richard thorp,dorothy gale sweep away farm kansas magical land oz tornado embark quest new friends see wizard help return home kansas help friends well dorothy gale sweep away farm kansas magical land oz tornado embark quest new friends see wizard help return home kansas help friends well adventure family fantasy victor fleming george cukor mervyn leroy norman taurog richard thorpe,"[221, 688, 499, 989, 267]","[221, 688, 499, 267, 763]"
459,La règle du jeu,bourgeois life france onset world war ii rich poor servants meet french chateau bourgeois life france onset world war ii rich poor servants meet french chateau comedy drama jean renoir marcel dalio nora gregor paulette dubost mila parély,bourgeoi life franc onset world war ii rich poor servant meet french chateau bourgeoi life franc onset world war ii rich poor servant meet french chateau comedi drama jean renoir marcel dalio nora gregor paulett dubost mila paréli,bourgeois life france onset world war ii rich poor servants meet french chateau bourgeois life france onset world war ii rich poor servants meet french chateau comedy drama jean renoir marcel dalio nora gregor paulette dubost mila parély,"[595, 573, 179, 46, 93]","[595, 179, 573, 46, 93]"
460,The Thin Man,former detective nick charles wealthy wife nora investigate murder case mostly fun former detective nick charles wealthy wife nora investigate murder case mostly fun comedy crime mystery ws van dyke william powell myrna loy maureen osullivan nat pendleton,former detect nick charl wealthi wife nora investig murder case mostli fun former detect nick charl wealthi wife nora investig murder case mostli fun comedi crime mysteri ws van dyke william powel myrna loy maureen osullivan nat pendleton,former detective nick charles wealthy wife nora investigate murder case mostly fun former detective nick charles wealthy wife nora investigate murder case mostly fun comedy crime mystery ws van dyke william powell myrna loy maureen osullivan nat pendleton,"[560, 187, 989, 453, 546]","[560, 453, 546, 437, 828]"
461,All Quiet on the Western Front,german youth eagerly enters world war enthusiasm wanes gets firsthand view horror german youth eagerly enters world war enthusiasm wanes gets firsthand view horror drama war lewis milestone lew ayres louis wolheim john wray arnold lucy,german youth eagerli enter world war enthusiasm wane get firsthand view horror german youth eagerli enter world war enthusiasm wane get firsthand view horror drama war lewi mileston lew ayr loui wolheim john wray arnold luci,german youth eagerly enter world war enthusiasm wan get firsthand view horror german youth eagerly enter world war enthusiasm wan get firsthand view horror drama war lewis milestone lew ayres louis wolheim john wray arnold lucy,"[179, 105, 445, 856, 46]","[179, 105, 445, 856, 46]"
462,Bronenosets Potemkin,midst russian revolution crew battleship potemkin mutiny brutal tyrannical regime vessels officers resulting street demonstration odessa brings police massacre midst russian revolution crew battleship potemkin mutiny brutal tyrannical regime vessels officers resulting street demonstration odessa brings police massacre drama history thriller sergei eisenstein aleksandr antonov vladimir barskiy grigoriy aleksandrov ivan bobrov,midst russian revolut crew battleship potemkin mutini brutal tyrann regim vessel offic result street demonstr odessa bring polic massacr midst russian revolut crew battleship potemkin mutini brutal tyrann regim vessel offic result street demonstr odessa bring polic massacr drama histori thriller sergei eisenstein aleksandr antonov vladimir barskiy grigoriy aleksandrov ivan bobrov,midst russian revolution crew battleship potemkin mutiny brutal tyrannical regime vessels officer result street demonstration odessa bring police massacre midst russian revolution crew battleship potemkin mutiny brutal tyrannical regime vessels officer result street demonstration odessa bring police massacre drama history thriller sergei eisenstein aleksandr antonov vladimir barskiy grigoriy aleksandrov ivan bobrov,"[766, 627, 337, 33, 895]","[766, 627, 337, 33, 895]"
463,Knives Out,detective investigates death patriarch eccentric combative family detective investigates death patriarch eccentric combative family comedy crime drama rian johnson daniel craig chris evans ana de armas jamie lee curtis,detect investig death patriarch eccentr comb famili detect investig death patriarch eccentr comb famili comedi crime drama rian johnson daniel craig chri evan ana de arma jami lee curti,detective investigate death patriarch eccentric combative family detective investigate death patriarch eccentric combative family comedy crime drama rian johnson daniel craig chris evans ana de armas jamie lee curtis,"[546, 87, 945, 833, 453]","[546, 87, 945, 453, 460]"
