,Series_Title,Bag_of_Word,Bag_of_Word_stem,Bag_of_Word_lema,Top 5 stem,Top 5 lema
65,Taare Zameen Par,eightyearold boy thought lazy troublemaker new art teacher patience compassion discover real problem behind struggles school eightyearold boy thought lazy troublemaker new art teacher patience compassion discover real problem behind struggles school drama family aamir khan amole gupte darsheel safary aamir khan tisca chopra,eightyearold boy thought lazi troublemak new art teacher patienc compass discov real problem behind struggl school eightyearold boy thought lazi troublemak new art teacher patienc compass discov real problem behind struggl school drama famili aamir khan amol gupt darsheel safari aamir khan tisca chopra,eightyearold boy think lazy troublemaker new art teacher patience compassion discover real problem behind struggle school eightyearold boy think lazy troublemaker new art teacher patience compassion discover real problem behind struggle school drama family aamir khan amole gupte darsheel safary aamir khan tisca chopra,"[501, 683, 266, 388, 823]","[683, 266, 501, 679, 388]"
66,WALL·E,distant future small wastecollecting robot inadvertently embarks space journey ultimately decide fate mankind distant future small wastecollecting robot inadvertently embarks space journey ultimately decide fate mankind animation adventure family andrew stanton ben burtt elissa knight jeff garlin fred willard,distant futur small wastecollect robot inadvert embark space journey ultim decid fate mankind distant futur small wastecollect robot inadvert embark space journey ultim decid fate mankind anim adventur famili andrew stanton ben burtt elissa knight jeff garlin fred willard,distant future small wastecollecting robot inadvertently embark space journey ultimately decide fate mankind distant future small wastecollecting robot inadvertently embark space journey ultimately decide fate mankind animation adventure family andrew stanton ben burtt elissa knight jeff garlin fred willard,"[917, 389, 553, 247, 426]","[389, 553, 247, 426, 233]"
67,The Lives of Others,east berlin agent secret police conducting surveillance writer lover finds becoming increasingly absorbed lives east berlin agent secret police conducting surveillance writer lover finds becoming increasingly absorbed lives drama mystery thriller florian henckel von donnersmarck ulrich mühe martina gedeck sebastian koch ulrich tukur,east berlin agent secret polic conduct surveil writer lover find becom increasingli absorb live east berlin agent secret polic conduct surveil writer lover find becom increasingli absorb live drama mysteri thriller florian henckel von donnersmarck ulrich mühe martina gedeck sebastian koch ulrich tukur,east berlin agent secret police conduct surveillance writer lover find become increasingly absorb live east berlin agent secret police conduct surveillance writer lover find become increasingly absorb live drama mystery thriller florian henckel von donnersmarck ulrich mühe martina gedeck sebastian koch ulrich tukur,"[876, 620, 885, 693, 488]","[876, 620, 885, 488, 521]"
68,Oldeuboi,kidnapped imprisoned fifteen years oh daesu released find must find captor five days kidnapped imprisoned fifteen years oh daesu released find must find captor five days action drama mystery chanwook park choi minsik yoo jitae kang hyejeong kim byeongok,kidnap imprison fifteen year oh daesu releas find must find captor five day kidnap imprison fifteen year oh daesu releas find must find captor five day action drama mysteri chanwook park choi minsik yoo jita kang hyejeong kim byeongok,kidnap imprison fifteen years oh daesu release find must find captor five days kidnap imprison fifteen years oh daesu release find must find captor five days action drama mystery chanwook park choi minsik yoo jitae kang hyejeong kim byeongok,"[0, 396, 350, 880, 743]","[0, 350, 880, 70, 489]"
69,Memento,man shortterm memory loss attempts track wifes murderer man shortterm memory loss attempts track wifes murderer mystery thriller christopher nolan guy pearce carrieanne moss joe pantoliano mark boone junior,man shortterm memori loss attempt track wife murder man shortterm memori loss attempt track wife murder mysteri thriller christoph nolan guy pearc carrieann moss joe pantoliano mark boon junior,man shortterm memory loss attempt track wifes murderer man shortterm memory loss attempt track wifes murderer mystery thriller christopher nolan guy pearce carrieanne moss joe pantoliano mark boone junior,"[511, 959, 588, 187, 964]","[511, 420, 210, 904, 145]"
70,Mononoke-hime,journey find cure tatarigamis curse ashitaka finds middle war forest gods tatara mining colony quest also meets san mononoke hime journey find cure tatarigamis curse ashitaka finds middle war forest gods tatara mining colony quest also meets san mononoke hime animation action adventure hayao miyazaki yôji matsuda yuriko ishida yûko tanaka billy crudup,journey find cure tatarigami curs ashitaka find middl war forest god tatara mine coloni quest also meet san mononok hime journey find cure tatarigami curs ashitaka find middl war forest god tatara mine coloni quest also meet san mononok hime anim action adventur hayao miyazaki yôji matsuda yuriko ishida yûko tanaka billi crudup,journey find cure tatarigamis curse ashitaka find middle war forest gods tatara mine colony quest also meet san mononoke hime journey find cure tatarigamis curse ashitaka find middle war forest gods tatara mine colony quest also meet san mononoke hime animation action adventure hayao miyazaki yôji matsuda yuriko ishida yûko tanaka billy crudup,"[68, 350, 822, 713, 267]","[68, 350, 822, 713, 267]"
71,Once Upon a Time in America,former prohibitionera jewish gangster returns lower east side manhattan thirty years later must confront ghosts regrets old life former prohibitionera jewish gangster returns lower east side manhattan thirty years later must confront ghosts regrets old life crime drama sergio leone robert de niro james woods elizabeth mcgovern treat williams,former prohibitionera jewish gangster return lower east side manhattan thirti year later must confront ghost regret old life former prohibitionera jewish gangster return lower east side manhattan thirti year later must confront ghost regret old life crime drama sergio leon robert de niro jame wood elizabeth mcgovern treat william,former prohibitionera jewish gangster return lower east side manhattan thirty years later must confront ghost regret old life former prohibitionera jewish gangster return lower east side manhattan thirty years later must confront ghost regret old life crime drama sergio leone robert de niro jam woods elizabeth mcgovern treat williams,"[141, 960, 664, 810, 269]","[960, 664, 810, 269, 86]"
72,Raiders of the Lost Ark,archaeologist adventurer indiana jones hired us government find ark covenant adolf hitlers nazis obtain awesome powers archaeologist adventurer indiana jones hired us government find ark covenant adolf hitlers nazis obtain awesome powers action adventure steven spielberg harrison ford karen allen paul freeman john rhysdavies,archaeologist adventur indiana jone hire us govern find ark coven adolf hitler nazi obtain awesom power archaeologist adventur indiana jone hire us govern find ark coven adolf hitler nazi obtain awesom power action adventur steven spielberg harrison ford karen allen paul freeman john rhysdavi,archaeologist adventurer indiana jones hire us government find ark covenant adolf hitlers nazis obtain awesome power archaeologist adventurer indiana jones hire us government find ark covenant adolf hitlers nazis obtain awesome power action adventure steven spielberg harrison ford karen allen paul freeman john rhysdavies,"[168, 681, 663, 991, 783]","[168, 663, 283, 713, 68]"
73,The Shining,family heads isolated hotel winter sinister presence influences father violence psychic son sees horrific forebodings past future family heads isolated hotel winter sinister presence influences father violence psychic son sees horrific forebodings past future drama horror stanley kubrick jack nicholson shelley duvall danny lloyd scatman crothers,famili head isol hotel winter sinist presenc influenc father violenc psychic son see horrif forebod past futur famili head isol hotel winter sinist presenc influenc father violenc psychic son see horrif forebod past futur drama horror stanley kubrick jack nicholson shelley duval danni lloyd scatman crother,family head isolate hotel winter sinister presence influence father violence psychic son see horrific forebode past future family head isolate hotel winter sinister presence influence father violence psychic son see horrific forebode past future drama horror stanley kubrick jack nicholson shelley duvall danny lloyd scatman crothers,"[841, 791, 439, 859, 377]","[841, 791, 439, 859, 607]"
74,Apocalypse Now,us army officer serving vietnam tasked assassinating renegade special forces colonel sees god us army officer serving vietnam tasked assassinating renegade special forces colonel sees god drama mystery war francis ford coppola martin sheen marlon brando robert duvall frederic forrest,us armi offic serv vietnam task assassin renegad special forc colonel see god us armi offic serv vietnam task assassin renegad special forc colonel see god drama mysteri war franci ford coppola martin sheen marlon brando robert duval freder forrest,us army officer serve vietnam task assassinate renegade special force colonel see god us army officer serve vietnam task assassinate renegade special force colonel see god drama mystery war francis ford coppola martin sheen marlon brando robert duvall frederic forrest,"[856, 129, 893, 790, 278]","[129, 893, 856, 790, 278]"
75,Alien,space merchant vessel receives unknown transmission distress call one crew attacked mysterious life form soon realize life cycle merely begun space merchant vessel receives unknown transmission distress call one crew attacked mysterious life form soon realize life cycle merely begun horror scifi ridley scott sigourney weaver tom skerritt john hurt veronica cartwright,space merchant vessel receiv unknown transmiss distress call one crew attack mysteri life form soon realiz life cycl mere begun space merchant vessel receiv unknown transmiss distress call one crew attack mysteri life form soon realiz life cycl mere begun horror scifi ridley scott sigourney weaver tom skerritt john hurt veronica cartwright,space merchant vessel receive unknown transmission distress call one crew attack mysterious life form soon realize life cycle merely begin space merchant vessel receive unknown transmission distress call one crew attack mysterious life form soon realize life cycle merely begin horror scifi ridley scott sigourney weaver tom skerritt john hurt veronica cartwright,"[913, 106, 173, 88, 662]","[913, 106, 173, 88, 571]"
76,Anand,story terminally ill man wishes live life fullest inevitable occurs told best friend story terminally ill man wishes live life fullest inevitable occurs told best friend drama musical hrishikesh mukherjee rajesh khanna amitabh bachchan sumita sanyal ramesh deo,stori termin ill man wish live life fullest inevit occur told best friend stori termin ill man wish live life fullest inevit occur told best friend drama music hrishikesh mukherje rajesh khanna amitabh bachchan sumita sanyal ramesh deo,story terminally ill man wish live life fullest inevitable occur tell best friend story terminally ill man wish live life fullest inevitable occur tell best friend drama musical hrishikesh mukherjee rajesh khanna amitabh bachchan sumita sanyal ramesh deo,"[435, 937, 585, 374, 533]","[585, 628, 374, 937, 295]"
77,Tengoku to jigoku,executive shoe company becomes victim extortion chauffeurs son kidnapped held ransom executive shoe company becomes victim extortion chauffeurs son kidnapped held ransom crime drama mystery akira kurosawa toshirô mifune yutaka sada tatsuya nakadai kyôko kagawa,execut shoe compani becom victim extort chauffeur son kidnap held ransom execut shoe compani becom victim extort chauffeur son kidnap held ransom crime drama mysteri akira kurosawa toshirô mifun yutaka sada tatsuya nakadai kyôko kagawa,executive shoe company become victim extortion chauffeur son kidnap hold ransom executive shoe company become victim extortion chauffeur son kidnap hold ransom crime drama mystery akira kurosawa toshirô mifune yutaka sada tatsuya nakadai kyôko kagawa,"[26, 664, 870, 117, 939]","[664, 26, 870, 939, 876]"
78,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,insane general triggers path nuclear holocaust war room full politicians generals frantically tries stop insane general triggers path nuclear holocaust war room full politicians generals frantically tries stop comedy stanley kubrick peter sellers george c scott sterling hayden keenan wynn,insan gener trigger path nuclear holocaust war room full politician gener frantic tri stop insan gener trigger path nuclear holocaust war room full politician gener frantic tri stop comedi stanley kubrick peter seller georg c scott sterl hayden keenan wynn,insane general trigger path nuclear holocaust war room full politicians general frantically try stop insane general trigger path nuclear holocaust war room full politicians general frantically try stop comedy stanley kubrick peter sellers george c scott sterling hayden keenan wynn,"[542, 80, 182, 854, 54]","[542, 80, 182, 854, 83]"
79,Witness for the Prosecution,veteran british barrister must defend client murder trial surprise surprise veteran british barrister must defend client murder trial surprise surprise crime drama mystery billy wilder tyrone power marlene dietrich charles laughton elsa lanchester,veteran british barrist must defend client murder trial surpris surpris veteran british barrist must defend client murder trial surpris surpris crime drama mysteri billi wilder tyron power marlen dietrich charl laughton elsa lanchest,veteran british barrister must defend client murder trial surprise surprise veteran british barrister must defend client murder trial surprise surprise crime drama mystery billy wilder tyrone power marlene dietrich charles laughton elsa lanchester,"[437, 723, 353, 86, 951]","[723, 437, 353, 80, 824]"
80,Paths of Glory,refusing attack enemy position general accuses soldiers cowardice commanding officer must defend refusing attack enemy position general accuses soldiers cowardice commanding officer must defend drama war stanley kubrick kirk douglas ralph meeker adolphe menjou george macready,refus attack enemi posit gener accus soldier cowardic command offic must defend refus attack enemi posit gener accus soldier cowardic command offic must defend drama war stanley kubrick kirk dougla ralph meeker adolph menjou georg macreadi,refuse attack enemy position general accuse soldier cowardice command officer must defend refuse attack enemy position general accuse soldier cowardice command officer must defend drama war stanley kubrick kirk douglas ralph meeker adolphe menjou george macready,"[78, 542, 353, 84, 31]","[78, 542, 353, 84, 31]"
81,Rear Window,wheelchairbound photographer spies neighbors apartment window becomes convinced one committed murder wheelchairbound photographer spies neighbors apartment window becomes convinced one committed murder mystery thriller alfred hitchcock james stewart grace kelly wendell corey thelma ritter,wheelchairbound photograph spi neighbor apart window becom convinc one commit murder wheelchairbound photograph spi neighbor apart window becom convinc one commit murder mysteri thriller alfr hitchcock jame stewart grace kelli wendel corey thelma ritter,wheelchairbound photographer spy neighbor apartment window become convince one commit murder wheelchairbound photographer spy neighbor apartment window become convince one commit murder mystery thriller alfred hitchcock jam stewart grace kelly wendell corey thelma ritter,"[876, 162, 22, 693, 321]","[162, 22, 693, 321, 187]"
82,Sunset Blvd.,screenwriter develops dangerous relationship faded film star determined make triumphant return screenwriter develops dangerous relationship faded film star determined make triumphant return drama filmnoir billy wilder william holden gloria swanson erich von stroheim nancy olson,screenwrit develop danger relationship fade film star determin make triumphant return screenwrit develop danger relationship fade film star determin make triumphant return drama filmnoir billi wilder william holden gloria swanson erich von stroheim nanci olson,screenwriter develop dangerous relationship fade film star determine make triumphant return screenwriter develop dangerous relationship fade film star determine make triumphant return drama filmnoir billy wilder william holden gloria swanson erich von stroheim nancy olson,"[481, 385, 780, 733, 341]","[481, 385, 780, 733, 341]"
83,The Great Dictator,dictator adenoid hynkel tries expand empire poor jewish barber tries avoid persecution hynkels regime dictator adenoid hynkel tries expand empire poor jewish barber tries avoid persecution hynkels regime comedy drama war charles chaplin charles chaplin paulette goddard jack oakie reginald gardiner,dictat adenoid hynkel tri expand empir poor jewish barber tri avoid persecut hynkel regim dictat adenoid hynkel tri expand empir poor jewish barber tri avoid persecut hynkel regim comedi drama war charl chaplin charl chaplin paulett goddard jack oaki reginald gardin,dictator adenoid hynkel try expand empire poor jewish barber try avoid persecution hynkels regime dictator adenoid hynkel try expand empire poor jewish barber try avoid persecution hynkels regime comedy drama war charles chaplin charles chaplin paulette goddard jack oakie reginald gardiner,"[912, 182, 51, 193, 569]","[912, 182, 51, 193, 569]"
84,1917,april th regiment assembles wage war deep enemy territory two soldiers assigned race time deliver message stop men walking straight deadly trap april th regiment assembles wage war deep enemy territory two soldiers assigned race time deliver message stop men walking straight deadly trap drama thriller war sam mendes deancharles chapman george mackay daniel mays colin firth,april th regiment assembl wage war deep enemi territori two soldier assign race time deliv messag stop men walk straight deadli trap april th regiment assembl wage war deep enemi territori two soldier assign race time deliv messag stop men walk straight deadli trap drama thriller war sam mend deancharl chapman georg mackay daniel may colin firth,april th regiment assemble wage war deep enemy territory two soldier assign race time deliver message stop men walk straight deadly trap april th regiment assemble wage war deep enemy territory two soldier assign race time deliver message stop men walk straight deadly trap drama thriller war sam mend deancharles chapman george mackay daniel mays colin firth,"[509, 508, 747, 80, 542]","[509, 508, 747, 80, 542]"
85,Tumbbad,mythological story goddess created entire universe plot revolves around consequences humans build temple firstborn mythological story goddess created entire universe plot revolves around consequences humans build temple firstborn drama fantasy horror rahi anil barve anand gandhi adesh prasad sohum shah jyoti malshe,mytholog stori goddess creat entir univers plot revolv around consequ human build templ firstborn mytholog stori goddess creat entir univers plot revolv around consequ human build templ firstborn drama fantasi horror rahi anil barv anand gandhi adesh prasad sohum shah jyoti malsh,mythological story goddess create entire universe plot revolve around consequences humans build temple firstborn mythological story goddess create entire universe plot revolve around consequences humans build temple firstborn drama fantasy horror rahi anil barve anand gandhi adesh prasad sohum shah jyoti malshe,"[577, 628, 719, 407, 204]","[577, 628, 940, 273, 831]"
86,Andhadhun,series mysterious events change life blind pianist must report crime technically know nothing series mysterious events change life blind pianist must report crime technically know nothing crime drama music sriram raghavan ayushmann khurrana tabu radhika apte anil dhawan,seri mysteri event chang life blind pianist must report crime technic know noth seri mysteri event chang life blind pianist must report crime technic know noth crime drama music sriram raghavan ayushmann khurrana tabu radhika apt anil dhawan,series mysterious events change life blind pianist must report crime technically know nothing series mysterious events change life blind pianist must report crime technically know nothing crime drama music sriram raghavan ayushmann khurrana tabu radhika apte anil dhawan,"[299, 833, 186, 136, 147]","[299, 186, 833, 147, 3]"
87,Drishyam,man goes extreme lengths save family punishment family commits accidental crime man goes extreme lengths save family punishment family commits accidental crime crime drama thriller jeethu joseph mohanlal meena asha sharath ansiba,man goe extrem length save famili punish famili commit accident crime man goe extrem length save famili punish famili commit accident crime crime drama thriller jeethu joseph mohanl meena asha sharath ansiba,man go extreme lengths save family punishment family commit accidental crime man go extreme lengths save family punishment family commit accidental crime crime drama thriller jeethu joseph mohanlal meena asha sharath ansiba,"[136, 974, 891, 863, 782]","[136, 974, 891, 863, 782]"
88,Jagten,teacher lives lonely life struggling sons custody life slowly gets better finds love receives good news son new luck brutally shattered innocent little lie teacher lives lonely life struggling sons custody life slowly gets better finds love receives good news son new luck brutally shattered innocent little lie drama thomas vinterberg mads mikkelsen thomas bo larsen annika wedderkopp lasse fogelstrøm,teacher live lone life struggl son custodi life slowli get better find love receiv good news son new luck brutal shatter innoc littl lie teacher live lone life struggl son custodi life slowli get better find love receiv good news son new luck brutal shatter innoc littl lie drama thoma vinterberg mad mikkelsen thoma bo larsen annika wedderkopp lass fogelstrøm,teacher live lonely life struggle sons custody life slowly get better find love receive good news son new luck brutally shatter innocent little lie teacher live lonely life struggle sons custody life slowly get better find love receive good news son new luck brutally shatter innocent little lie drama thomas vinterberg mads mikkelsen thomas bo larsen annika wedderkopp lasse fogelstrøm,"[521, 639, 489, 377, 913]","[521, 639, 489, 933, 804]"
89,Jodaeiye Nader az Simin,married couple faced difficult decision improve life child moving another country stay iran look deteriorating parent alzheimers disease married couple faced difficult decision improve life child moving another country stay iran look deteriorating parent alzheimers disease drama asghar farhadi payman maadi leila hatami sareh bayat shahab hosseini,marri coupl face difficult decis improv life child move anoth countri stay iran look deterior parent alzheim diseas marri coupl face difficult decis improv life child move anoth countri stay iran look deterior parent alzheim diseas drama asghar farhadi payman maadi leila hatami sareh bayat shahab hosseini,marry couple face difficult decision improve life child move another country stay iran look deteriorate parent alzheimers disease marry couple face difficult decision improve life child move another country stay iran look deteriorate parent alzheimers disease drama asghar farhadi payman maadi leila hatami sareh bayat shahab hosseini,"[430, 747, 521, 425, 595]","[430, 747, 521, 425, 466]"
90,Incendies,twins journey middle east discover family history fulfill mothers last wishes twins journey middle east discover family history fulfill mothers last wishes drama mystery war denis villeneuve lubna azabal mélissa désormeauxpoulin maxim gaudette mustafa kamel,twin journey middl east discov famili histori fulfil mother last wish twin journey middl east discov famili histori fulfil mother last wish drama mysteri war deni villeneuv lubna azab mélissa désormeauxpoulin maxim gaudett mustafa kamel,twin journey middle east discover family history fulfill mother last wish twin journey middle east discover family history fulfill mother last wish drama mystery war denis villeneuve lubna azabal mélissa désormeauxpoulin maxim gaudette mustafa kamel,"[454, 646, 902, 765, 282]","[646, 765, 282, 87, 176]"
91,Miracle in cell NO.7,story love mentallyill father wrongly accused murder lovely six years old daughter prison would home based korean movie beonbangui seonmul story love mentallyill father wrongly accused murder lovely six years old daughter prison would home based korean movie beonbangui seonmul drama mehmet ada öztekin aras bulut iynemli nisa sofiya aksongur deniz baysal celile toyon uysal,stori love mentallyil father wrongli accus murder love six year old daughter prison would home base korean movi beonbangui seonmul stori love mentallyil father wrongli accus murder love six year old daughter prison would home base korean movi beonbangui seonmul drama mehmet ada öztekin ara bulut iynemli nisa sofiya aksongur deniz baysal celil toyon uysal,story love mentallyill father wrongly accuse murder lovely six years old daughter prison would home base korean movie beonbangui seonmul story love mentallyill father wrongly accuse murder lovely six years old daughter prison would home base korean movie beonbangui seonmul drama mehmet ada öztekin aras bulut iynemli nisa sofiya aksongur deniz baysal celile toyon uysal,"[629, 518, 141, 736, 453]","[141, 952, 629, 791, 812]"
92,Babam ve Oglum,family leftwing journalist torn apart military coup turkey family leftwing journalist torn apart military coup turkey drama family çagan irmak çetin tekindor fikret kuskan hümeyra ege tanman,famili leftw journalist torn apart militari coup turkey famili leftw journalist torn apart militari coup turkey drama famili çagan irmak çetin tekindor fikret kuskan hümeyra ege tanman,family leftwing journalist tear apart military coup turkey family leftwing journalist tear apart military coup turkey drama family çagan irmak çetin tekindor fikret kuskan hümeyra ege tanman,"[431, 87, 793, 902, 940]","[87, 793, 940, 891, 431]"
93,Inglourious Basterds,nazioccupied france world war ii plan assassinate nazi leaders group jewish us soldiers coincides theatre owners vengeful plans nazioccupied france world war ii plan assassinate nazi leaders group jewish us soldiers coincides theatre owners vengeful plans adventure drama war quentin tarantino brad pitt diane kruger eli roth mélanie laurent,nazioccupi franc world war ii plan assassin nazi leader group jewish us soldier coincid theatr owner veng plan nazioccupi franc world war ii plan assassin nazi leader group jewish us soldier coincid theatr owner veng plan adventur drama war quentin tarantino brad pitt dian kruger eli roth mélani laurent,nazioccupied france world war ii plan assassinate nazi leaders group jewish us soldier coincide theatre owners vengeful plan nazioccupied france world war ii plan assassinate nazi leaders group jewish us soldier coincide theatre owners vengeful plan adventure drama war quentin tarantino brad pitt diane kruger eli roth mélanie laurent,"[179, 772, 856, 573, 7]","[179, 772, 595, 573, 38]"
94,Eternal Sunshine of the Spotless Mind,relationship turns sour couple undergoes medical procedure erased memories relationship turns sour couple undergoes medical procedure erased memories drama romance scifi michel gondry jim carrey kate winslet tom wilkinson gerry robert byrne,relationship turn sour coupl undergo medic procedur eras memori relationship turn sour coupl undergo medic procedur eras memori drama romanc scifi michel gondri jim carrey kate winslet tom wilkinson gerri robert byrn,relationship turn sour couple undergo medical procedure erase memories relationship turn sour couple undergo medical procedure erase memories drama romance scifi michel gondry jim carrey kate winslet tom wilkinson gerry robert byrne,"[647, 729, 773, 481, 483]","[647, 729, 481, 483, 773]"
95,Amélie,amélie innocent naive girl paris sense justice decides help around along way discovers love amélie innocent naive girl paris sense justice decides help around along way discovers love comedy romance jeanpierre jeunet audrey tautou mathieu kassovitz rufus lorella cravotta,améli innoc naiv girl pari sens justic decid help around along way discov love améli innoc naiv girl pari sens justic decid help around along way discov love comedi romanc jeanpierr jeunet audrey tautou mathieu kassovitz rufu lorella cravotta,amélie innocent naive girl paris sense justice decide help around along way discover love amélie innocent naive girl paris sense justice decide help around along way discover love comedy romance jeanpierre jeunet audrey tautou mathieu kassovitz rufus lorella cravotta,"[443, 52, 518, 297, 533]","[443, 52, 518, 297, 533]"
96,Snatch,unscrupulous boxing promoters violent bookmakers russian gangster incompetent amateur robbers supposedly jewish jewelers fight track priceless stolen diamond unscrupulous boxing promoters violent bookmakers russian gangster incompetent amateur robbers supposedly jewish jewelers fight track priceless stolen diamond comedy crime guy ritchie jason statham brad pitt benicio del toro dennis farina,unscrupul box promot violent bookmak russian gangster incompet amateur robber supposedli jewish jewel fight track priceless stolen diamond unscrupul box promot violent bookmak russian gangster incompet amateur robber supposedli jewish jewel fight track priceless stolen diamond comedi crime guy ritchi jason statham brad pitt benicio del toro denni farina,unscrupulous box promoters violent bookmakers russian gangster incompetent amateur robbers supposedly jewish jewelers fight track priceless steal diamond unscrupulous box promoters violent bookmakers russian gangster incompetent amateur robbers supposedly jewish jewelers fight track priceless steal diamond comedy crime guy ritchie jason statham brad pitt benicio del toro dennis farina,"[416, 718, 361, 918, 161]","[416, 718, 361, 702, 918]"
97,Requiem for a Dream,druginduced utopias four coney island people shattered addictions run deep druginduced utopias four coney island people shattered addictions run deep drama darren aronofsky ellen burstyn jared leto jennifer connelly marlon wayans,druginduc utopia four coney island peopl shatter addict run deep druginduc utopia four coney island peopl shatter addict run deep drama darren aronofski ellen burstyn jare leto jennif connelli marlon wayan,druginduced utopias four coney island people shatter addictions run deep druginduced utopias four coney island people shatter addictions run deep drama darren aronofsky ellen burstyn jar leto jennifer connelly marlon wayans,"[49, 260, 291, 505, 186]","[49, 260, 291, 505, 204]"
98,American Beauty,sexually frustrated suburban father midlife crisis becoming infatuated daughters best friend sexually frustrated suburban father midlife crisis becoming infatuated daughters best friend drama sam mendes kevin spacey annette bening thora birch wes bentley,sexual frustrat suburban father midlif crisi becom infatu daughter best friend sexual frustrat suburban father midlif crisi becom infatu daughter best friend drama sam mend kevin spacey annett bene thora birch we bentley,sexually frustrate suburban father midlife crisis become infatuate daughters best friend sexually frustrate suburban father midlife crisis become infatuate daughters best friend drama sam mend kevin spacey annette bening thora birch wes bentley,"[763, 550, 238, 619, 791]","[550, 238, 791, 377, 664]"
99,Good Will Hunting,hunting janitor mit gift mathematics needs help psychologist find direction life hunting janitor mit gift mathematics needs help psychologist find direction life drama romance gus van sant robin williams matt damon ben affleck stellan skarsgård,hunt janitor mit gift mathemat need help psychologist find direct life hunt janitor mit gift mathemat need help psychologist find direct life drama romanc gu van sant robin william matt damon ben affleck stellan skarsgård,hunt janitor mit gift mathematics need help psychologist find direction life hunt janitor mit gift mathematics need help psychologist find direction life drama romance gus van sant robin williams matt damon ben affleck stellan skarsgård,"[804, 248, 121, 490, 521]","[804, 248, 121, 490, 521]"
100,Bacheha-Ye aseman,boy loses sisters pair shoes goes series adventures order find cant tries new way win new pair boy loses sisters pair shoes goes series adventures order find cant tries new way win new pair drama family sport majid majidi mohammad amir naji amir farrokh hashemian bahare seddiqi nafise jafarmohammadi,boy lose sister pair shoe goe seri adventur order find cant tri new way win new pair boy lose sister pair shoe goe seri adventur order find cant tri new way win new pair drama famili sport majid majidi mohammad amir naji amir farrokh hashemian bahar seddiqi nafis jafarmohammadi,boy lose sisters pair shoe go series adventure order find cant try new way win new pair boy lose sisters pair shoe go series adventure order find cant try new way win new pair drama family sport majid majidi mohammad amir naji amir farrokh hashemian bahare seddiqi nafise jafarmohammadi,"[912, 598, 699, 470, 596]","[912, 598, 699, 470, 328]"
101,Toy Story,cowboy doll profoundly threatened jealous new spaceman figure supplants top toy boys room cowboy doll profoundly threatened jealous new spaceman figure supplants top toy boys room animation adventure comedy john lasseter tom hanks tim allen rickles jim varney,cowboy doll profoundli threaten jealou new spaceman figur supplant top toy boy room cowboy doll profoundli threaten jealou new spaceman figur supplant top toy boy room anim adventur comedi john lasset tom hank tim allen rickl jim varney,cowboy doll profoundly threaten jealous new spaceman figure supplant top toy boys room cowboy doll profoundly threaten jealous new spaceman figure supplant top toy boys room animation adventure comedy john lasseter tom hanks tim allen rickles jim varney,"[596, 516, 151, 100, 699]","[596, 516, 151, 699, 995]"
102,Braveheart,scottish warrior william wallace leads countrymen rebellion free homeland tyranny king edward england scottish warrior william wallace leads countrymen rebellion free homeland tyranny king edward england biography drama history mel gibson mel gibson sophie marceau patrick mcgoohan angus macfadyen,scottish warrior william wallac lead countrymen rebellion free homeland tyranni king edward england scottish warrior william wallac lead countrymen rebellion free homeland tyranni king edward england biographi drama histori mel gibson mel gibson sophi marceau patrick mcgoohan angu macfadyen,scottish warrior william wallace lead countrymen rebellion free homeland tyranny king edward england scottish warrior william wallace lead countrymen rebellion free homeland tyranny king edward england biography drama history mel gibson mel gibson sophie marceau patrick mcgoohan angus macfadyen,"[858, 507, 342, 215, 803]","[858, 323, 342, 673, 263]"
103,Reservoir Dogs,simple jewelry heist goes horribly wrong surviving criminals begin suspect one police informant simple jewelry heist goes horribly wrong surviving criminals begin suspect one police informant crime drama thriller quentin tarantino harvey keitel tim roth michael madsen chris penn,simpl jewelri heist goe horribl wrong surviv crimin begin suspect one polic inform simpl jewelri heist goe horribl wrong surviv crimin begin suspect one polic inform crime drama thriller quentin tarantino harvey keitel tim roth michael madsen chri penn,simple jewelry heist go horribly wrong survive criminals begin suspect one police informant simple jewelry heist go horribly wrong survive criminals begin suspect one police informant crime drama thriller quentin tarantino harvey keitel tim roth michael madsen chris penn,"[921, 164, 125, 162, 416]","[921, 416, 41, 164, 125]"
104,Full Metal Jacket,pragmatic us marine observes dehumanizing effects vietnam war fellow recruits brutal boot camp training bloody street fighting hue pragmatic us marine observes dehumanizing effects vietnam war fellow recruits brutal boot camp training bloody street fighting hue drama war stanley kubrick matthew modine r lee ermey vincent donofrio adam baldwin,pragmat us marin observ dehuman effect vietnam war fellow recruit brutal boot camp train bloodi street fight hue pragmat us marin observ dehuman effect vietnam war fellow recruit brutal boot camp train bloodi street fight hue drama war stanley kubrick matthew modin r lee ermey vincent donofrio adam baldwin,pragmatic us marine observe dehumanize effect vietnam war fellow recruit brutal boot camp train bloody street fight hue pragmatic us marine observe dehumanize effect vietnam war fellow recruit brutal boot camp train bloody street fight hue drama war stanley kubrick matthew modine r lee ermey vincent donofrio adam baldwin,"[268, 278, 179, 747, 856]","[278, 179, 747, 856, 673]"
